MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation
197,5029000197,The Argyle,"Argyle, The",934 Patterson Ave.,Alamo Heights,Bexar,15,14,551220,3260795,"ranches/ranching; houses, design and construction; land development; food topics",1972,True,False,NW corner Patterson and Argyle avenues. Marker is at NE corner of the building near covered entrance.,False,In Situ,RTHL medallion and plate,"Built 1859 by Charles Anderson as headquarters for a 1400-acre house ranch. Leaving San Antonio on Civil War's eve, Anderson sold to poet Hiram McLane who lived here 30 years. In 1890 at Alamo Heights' creation, a subdivider named the mansion for his native Argyllshire, Scotland. The O'Grady family, formerly of Boerne, bought the Argyle in 1893, making it famous for hospitality and food. The classic ""Argyle Cook Book"" was published in 1940.    Recorded Texas Historic Landmark - 1972",False,False,True
212,5029000212,Arsenal Magazine,Arsenal Magazine,"646 S. Main                                                                                                                                                                                             ",San Antonio,Bexar,15,14,548919,3254347,buildings; Civil War; military topics,1977,True,False,,False,In Situ,"27"" x 42""","At the urging of United States Secretary of War Jefferson Davis, land was secured at San Antonio in 1858 for an arsenal. In 1859, the State of Texas added 16 acres, and the arsenal became headquarters for the U.S. Army's department of Texas. Under construction when the Civil War (1861-65) began, this magazine was included in Federal property surrendered in 1861. The building was completed for Confederate Texas by local contractor J.H. Kampmann. Carefully spaced vents and cavities in the walls permitted air circulation and reduced the danger of sparks igniting stored gunpowder. The arsenal supplied arms for south Texas and frontier defense, as well as the Sibley expedition to New Mexico in 1862. Reoccupied by Federal forces in 1865, this became the principal supply depot for the line of Forts defending frontier settlements. It served the U.S. Army until 1947, when the Arsenal was closed. The long, narrow one-story structure features walls of extremely thick ashlar limestone construction. Details include end gables extended above the roofline, lintels which protrude as hood molds, and date stone in relief over the side entry.",False,False,True
245,5029000245,Site of the Camp of Stephen F. Austin,"Camp of Stephen F. Austin, Site of",2336 Rigsby Avenue,San Antonio,Bexar,15,14,555842,3252204,"Texas Revolution, military; forts",1936,False,False,"Covington Park, near parking area near Covington Park Trailhead of Salado Creek Greenway, 0.1 mi. W of Schrader Rd. then 0.1 mi. S of Rigsby Ave.",False,In Situ,1936 Texas Centennial - historical marker,"Site of the camp of Stephen F. Austin (October 20-26, 1835) while assembling troops preparatory to the attack on the Mexican garrison at San Antonio * * After his appointment on November 12 as Commissioner to the United States, the Texans, under Colonels Ben Milam and Frank W. Johnson stormed and captured San Antonio, December 10, 1835. Erected by the State of Texas 1936",False,False,True
246,5029000246,Moses Austin,"Austin, Moses",100 Military Plaza,San Antonio,Bexar,15,14,548942,3255164,settlements; pioneers; colonization,1936,False,False,"City Hall grounds, northwest corner facing W. Commerce St. and Plaza de Armas",False,In Situ,1936 Texas Centennial statue,"(Front) Born in Connecticut, October fourth 1761; moved to Philadephia in 1783. Thence to Virginia in 1785 and to Missouri in San Antonio on December 23, 1820. Died in Missouri June 10, 1821. (Right) Moses Austin here petitioned the Spanish authorties for the right to bring three-hundred families to Texas and returned to MIssouri to wait the answer. (Back) Exposure and exhaustion during his Texas journey caused his death a few days after receiving notification that his petition had been granted. His dying request was that his son Stephen should carry out his vision. (Left) A man of vision, enterprise, industry and indomitable energy...he most fittingly bequeathed the realization of his plans to his more deliberate, patient, tactful and diplomatic son. (1936)",False,False,True
300,5029000300,Barbed Wire,Barbed Wire,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,548955,3255109,"cattle, cattle industry topics; inventors and inventions; ranches/ranching",1971,False,False,"Military Plaza, San Antonio",False,In Situ,"27"" x 42""","At first called ""Devil's Rope"" by cowboys, barbed wire was patented in 1873 but found little favor with Texas cattlemen until the late 1870s, when its use and practicality were shown in a sensational demonstration here in San Antonio. Its showman-sponsor was John Ware Gates (1855-1911), who came here as agent for a pioneer wire manufacturer. With permission from city officials, he built a barbed wire corral on the Military Plaza, then went into various resorts of cattlemen and boasted of its strength and economy. Some of the ranchers made bets that the wire would not hold wild cattle. While the scoffers looked on, some longhorns where turned into the corral and prodded to frenzy by burning torches. They charged the fence furiously, but the wire held. The experiment was such a success that for a long time orders exceeded the supply of barbed wire. In later life known as ""bet-a-million"" Gates, the agent founded or organized several wire and steel plants. About 1901 he also invested in Spindletop oil field and helped develop the city of Port Arthur, Texas. With its sister utility, the windmill, barbed wire led to upgrading of beef cattle and enhancement of nutrition and the quality of human life. (1971)",False,False,True
329,5029000329,In this vicinity the Battle of Rosillo,"Battle of Rosillo, In this vicinity",4226 SE Military Drive,San Antonio,Bexar,15,14,557296,3247705,military topics,1936,False,False,"SE Military Drive, south side of the road 0.1 mi. SW of W.W. White Road on restricted access/private property. Battle also known as Battle of Rosalis.",True,Access Restricted,1936 Texas Centennial - historical marker (gray granite),"In this vicinity the Battle of Rosillo was fought on March 28, 1813. Here the ""Republican Army of the North"" composed of Anglo-Americans, Mexicans and Indians defeated, with heavy loss of life, Spanish Royalists troops commanded by Manuel de Salcedo, Governor of Texas. The prisoners of war were brutally murdered shortly afterwards by order of Colonel Bernardo Gutierrez. Erected by the State of Texas 1936",False,False,True
331,5029000331,Battle of the Alazan,Battle of the Alazan,2300 W. Commerce,San Antonio,Bexar,15,14,546586,3255508,Spanish immigrants/immigration; military topics,1967,False,False,2300 W. Commerce. Marker reported missing Feb. 2007.,False,Missing,"27"" x 42""","Fought in this vicinity June 20, 1813. One in chain of clashes between Spanish Royalists and insurgent elements in Coahuila and Texas, 1811-1813. Col. Ygnacio Elizondo was ordered to lead his Spanish Royalists force to Frio River -- but no further. Instead, the colonel, having changed sides twice since opening of hostilities in 1810 and wanting to redeem his honor by reconquering province of Texas for Spanish rule, came to the outskirts of San Antonio some 500 yards west of the Alazan. Underestimating enemy ability, he pitched camp without precaution, neglected to post scouts for pickets. Only 2 bastions of 6 artillery pieces protected camp. Women, children were allowed to mingle with troops. The republican army of the north was in position about camp at sunrise; bounty-collecting Indians were waiting to chase, capture, scalp runaway troops. Then, while Elizondo's men were at Mass, the 2-hour battle began. With a solid green banner for flag, the insurgent leader, Bernardo Gutierrez de Lara, led his men through the very center of Spanish camp. Only those mounted on fleet horses escaped. Elizondo, who had 2 horses shot from under him, managed to catch up with remnants of his army some 15 miles from the battlefield as they hurried to the Rio Grande. (1967)",False,False,True
335,5029000335,The Battle of the Salado,Battle of the Salado,Holbrook Rd.,San Antonio,Bexar,15,14,556430,3262198,military topics,1936,False,False,"Holbrook Rd., E side, 0.2 mi. N of Rittiman Rd. Marker reported vandalized 5.8.21.",False,In Situ,1936 Texas Centennial - historical marker,"Decisive in Texas history, was fought here September 18, 1842. Col. Mathew Caldwell and Capt. John C. Hays, commanding a force of Texas volunteers, opposed the Mexican Army under General Adrian Woll that had captured San Antonio, and with the loss of only one man, checked the last Mexican invasion of Texas and thereby prevented the capture of Austin, capital of the Republic of Texas. Erected by the State of Texas 1936",False,False,True
352,5029000352,Hamilton P. Bee,"Bee, Hamilton P.","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,552066,3254659,state official; Civil War; rangers; military topics,1963,False,False,"City Cemetery #4, intersection of E. Commerce St., & JEB Stuart Way, San Antonio",False,In Situ,pink centennial,"Secretary 1st Texas Senate, Legislator 1849. Speaker of House 1854-1856. Served campaigns against Comanches. Lieutenant, Cavalry, Mexican War 1846. Confederate presidential elector 1861. Brigadier General State Militia 1861. Appointed same rank Confederate Army 1862. In command Western District, Texas, keeping vital cotton road open to Mexico. Led brigade and wounded Red River Campaign 1864 to stop invasion Texas. Served Indian Territory to keep Indians and Federals in check. Returned to command cavalry division in Texas. (1963)",False,False,True
399,5029000399,The Bexar County Courthouse,"Bexar County Courthouse, The",100 Dolorosa,San Antonio,Bexar,15,14,549125,3255061,courthouses; design and construction; Romanesque/Richardsonian Romanesque (Architectural style),1976,True,False,"Main Plaza,San Antonio",False,In Situ,"27"" x 42""","This courthouse occupies the south side of Main Plaza, formerly called ""La Plaza de las Islas"", as originally laid out by the Canary Islanders in 1731. As it was then, this plaza is the administrative and judicial heart of Bexar County. This is the fourth edifice to house the government of the county since Texas entered the United States. The citizens authorized $621,000 worth of bonds in the 1890s to finance its construction. James Riely Gordon (1863-1937), architect for many imposing public buildings, including at least one state capitol, submitted the award-winning Romanesque design for this courthouse. The builders were George Dugan, David Hughes, and Otto P. Kroeger. The foundation was laid in 1891, and the structure was completed in 1896. Native Texas granite and red sandstone are basic materials of the massive building. Towers roofed in green tile and red tile, handsome columns and arches, carvings, and many fine interior details gave the edifice great distinction. Additions in 1914 and 1926 continued the use of Texas granite and sandstone. Expansions in 1963, 1970, and 1973 employed other materials, however, and also altered portions of the original design. (1976)",False,False,True
400,5029000400,Bexar County under Nine Governments,Bexar County under Nine Governments,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549091,3254895,counties,1967,False,False,"Courthouse grounds, faces entrance at bottom of steps, South Main & Nueva streets, San Antonio",False,In Situ,"27"" x 42""","The administrative government of Bexar County, besides being the oldest in Texas, is distinguished by having served under nine governments. The community served under Spanish rule from May, 1718, until January, 1811, when it was taken over by the revolutionary ""Casas regime"". Only five weeks later, the ""counter-revoluationary Junta of Bexar"" overthrew the Casas government and eventually restored Spanish rule. In April, 1812, however, the ""Republican Army of the North"" deposed the provincial Spanish government and declared independence from Spain. Five months later the Spanish regained control, holding Texas until 1821. The fifth regime, ""First Imperial Government of Mexico"" was created when Mexico gained independence from Spain in 1821. The emperor relinquished control to army leaders within two years, however, and the ""Republic of Mexico"" was established. Texas gained independence from Mexico in 1836, thereby establishing Bexar's seventh government, the ""Republic of Texas"". In 1845, Texas became the twenty-eighth state of the United States and remained in the Union until 1861, when the southern states seceeded to from the Confederacy. Following the Civil War, U.S. rule returned to Bexar County in 1865. (1967)",False,False,True
447,5029000447,Boldtville Schoolhouse,Boldtville Schoolhouse,6634 New Sulpher Springs Rd.,San Antonio,Bexar,15,14,562148,3248320,educational buildings; educational topics,1984,True,False,"Loc. at Boltville community, at interection of Sulphur Springs and Foster roads, San Antonio",False,In Situ,Medallion and Plate,"Land for this schoolhouse was given to Bexar County in 1919 by Albert F. Boldt. During that year this two-room building was constructed by local resident Fritz Gembler. From 1919 until 1960 it served as an educational facility for the children of nearby rural families. An example of a typical early 20th-century, two-room Texas schoolhouse, the structure features a pedimented porch with a cupola. (1984)",False,False,True
450,5029000450,Book Building,Book Building,140 East Houston,San Antonio,Bexar,15,14,549699,3254931,commercial buildings,1978,True,False,"140 East Houston, San Antonio; MARKER REPORTED MISSING 5/2011 (may be inside building)",False,Missing,Medallion and Plate,"During the 1850s, the U.S. Army occupied several stone and adobe buildings which stood at this site. Dwight Dana Book (1869-1955), a civil engineer and veteran of the Spanish-American War, bought the property in 1904. He had this red brick commercial building erected in 1906. Attorney's, realtors, architects, physicians and other tenants leased office space here. A popular club called the ""Night Spot"" was once located in the basement level. (1978)",False,False,True
474,5029000474,Bowen's Island,Bowen's Island,"St. Mary's St.                                                                                                                                                                                  ",San Antonio,Bexar,15,14,549884,3255739,geology; fairs and festivals; German immigrants/immigration; water topics,1985,False,False,"N. Side of Tower life bldg, River level, St. Mary's & La Villita, San Antonio",False,In Situ,"27"" x 42""","This tract of land is a natural peninsula in the San Antonio River. It once was bounded by the river on three sides and on the fourth by the Concepcion Acequia. In 1845 John Bowen, a native of Philadelphia, bought the property from Maria Josefa Rodriguez de Yturri for $300. Bowen and his wife, Mary Elizabeth, built a seven-room home on the island for their family of six children. Here they planted fruit trees and gravevines. On the east bank of the river, they built a waterwheel to irrigate their truck farm. During the 1840s and 1850s John Bowen served San Antonio as United States postmaster and city treasurer. He was a staunch Unionist and, according to family tradition, protected fugitive slaves. John Bowen died on the island in 1867 and was buried here. Bowen's Island was a well-known garden spot and a popular setting for social gatherings and celebrations. Here the first Volksfest was held, and the Turnverein, and German Athletic Club, performed. During the 1870s it was the site of Wolfram's Central Garden, a pleasure resort. Mary Elizabeth Bowen died in 1903. During the 1920s the river was diverted, and Bowen's Island became part of the San Antonio mainland. (1985)",False,False,True
526,5029000526,Old S. J. Brooks Home,"Brooks, Sidney J., Old Home","155 Croften Ave.                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549155,3253211,"houses, residential buildings; judges; aviation; design and construction; military topics",1969,True,False,(King William District),False,In Situ,Medallion and Plate,"Built about 1890, this stately late Victorian house combines various influences and styles. The architect was M. T. Eckles, and builder was T. R. Hertzberg, a local businessman. In 1909 Judge Sidney J. Brooks, noted lawyer and first judge of 57th District Court, bought this house. His son Sidney, Jr., (1895-1917), was one of the first U.S. cadets killed training for World War I duty. Brooks Air Force Base was named for him. (1969)",False,False,True
567,5029000567,"Building 100 ""Taj Mahal""","Building 100 ""Taj Mahal""","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,569472,3267614,buildings; aviation; design and construction; military topics,1975,False,False,"Building 100, outer Washington Circle, Randolph AFB, at intersection of HWY 78 & HWY 218, San Antonio (restricted base)",False,Access Restricted,"27"" x 42""","In 1928 the San Antonio Airport Company purchased 2300 acres of land near the city and donated it to the United States Army Air Corps for development of a consolidated flight training facility. Called ""the West Point of the air"", Randolph Field was dedicated June 20, 1930. One month later, construction was begun on an administration building, designated as Building 100. Because of the structure's exotic appearance, student flyers nicknamed it ""The Taj Mahal"" soon after its completion in October 1931. With its height and location, the building dominated Randolph Field and the surrounding countryside. It was also a prominent feature in several motion pictures filmed here. To many Americans, ""The Taj Mahal"" came to symbolized military aviation at a time when air power was becoming vital to military strength. Building 100 was designed by San Antonio architect Atlee B. Ayres. Its unusual 170-foot tower conceals a 500,000-gallon water storage tank. A powerful beacon atop the tower can be seen by aircraft up to fifty miles away. The building also contains an 1100-seat movie theater. Its administrative offices now (1975) house the United States Air Force. (1975)",False,False,True
568,5029000568,The Bullis House,Bullis House,"621 Pierce Ave.                                                                                                                                                     ",San Antonio,Bexar,15,14,551998,3257242,"Neoclassical (architectural style); houses, residential buildings; design and construction; military topics",1983,True,False,"Pierce Avenue, W side between E. Grayson and Quitman streets",False,In Situ,RTHL medallion and plate,"Completed in 1909 for Gen. John Lapham Bullis, this Neo-Classical Revival Residence was designed by San Antonio architect Harvey Page. A native of New York, Bullis spent much of his career on the Southwestern frontier. In 1873 he took command of a company of Seminole Scouts, whose sucess in tracking and combating Indian raiders attracted national attention. Gen. Bullis, for whom nearby Camp Bullis is named, lived here until death in 1911. Recorded Texas Historic Landmark - 1983",False,True,True
622,5029000622,The Caile House,Caile House,"526 E. Nueva St.                                                                                                                                                     ",San Antonio,Bexar,15,14,549599,3254709,"houses, residential buildings; English immigrants/immigration",1966,True,False,,False,In Situ,RTHL medallion and plate,"This caliche block home was built by Robert Caile (d. 1879) soon after he purchased the property in 1857. Caile, who came to Texas from England, later enlarged the residence with an addition during the post-Civil War period. A part of the 1812 Spanish land grant to Delores Alderete, the site remained in Caile family until 1894, when it was purchased as rental property by Jacob Hotz, Farmer. After his death in 1928, relatives owned the house until the 1940s. Recorded Texas Historic Landmark - 1966",False,False,True
702,5029000702,The Canary Islanders,"Canary Islanders, The","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549111,3255078,immigration; Spanish immigrants/immigration; pioneers; colonization,1971,False,False,"Main Plaza, NW Corner of courthouse lawn, San Antonio",False,In Situ,"27"" x 42""","Earliest civilian colonists of San Antonio, this nucleus of pioneers from the Canary Islands formed the first organized civil government in Texas and founded the village of San Fernando de Bexar in 1731. Following a sea and land voyage of over a year, these weary travelers arrived at the Presidio (Fort) of San Antonio early on March 9, 1731. Totaling 56 persons, they had emigrated to Texas from the Spanish Canary Islands near Africa, by order of King Philip V. On July 2, they began to lay out a villa (village), choosing a site on the west side of the Plaza de las Islas (present Main Plaza) for the church and a site on the east side for the Casa Reales (government building). On July 9, the captain of the Presidio, Juan Antonio De Almazan, read to the islanders the decee of the viceroy naming them and their descendants ""Hijos Dalgos"", persons of nobility. The heads of the 16 families who settled in San Antonio were: Juan Leal Goraz, Juan Curbelo, Juan Leal, Antonio Santos, Jose Padron, Manuel De Nis, Vicente Alvarez Travieso, Salvador Rodriguez, Jose Leal, Juan Delgado, Jose Cabrera, Juan Rodriguez Grandillo, Francisco De Arocha, Antonio Rodriguez, Lorenzo and Martin De Armas, and Felipe and Jose Antonio Perez. (1971)",False,False,True
748,5029000748,The Casas Reales,"Casas Reales, The","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549172,3255095,"buildings; Spanish immigrants/immigration; houses, residential buildings; pioneers; military topics",1971,False,False,Main Plaza (faces Market Street),False,In Situ,"27"" x 42""","On site chosen July 2, 1731, for ""government houses"" by people of San Fernando de Bexar, including newly-arrived settlers from the Canary Islands. Structure, erected 1742, had to be rebuilt in 1779 by Don Jose Antonio Curbelo, alcalde of the Villa San Fernando de Bexar. A jail was erected to the south in 1783. From commanding position of Casas Reales on Main Plaza were read official proclamations, to the roll of drums. A noted visitor in 1807 was Lt. Zebulon M. Pike, freed after arrest on upper Rio Grande while exploring Louisiana Purchase for the United States. Briefly in 1813 over the Cases Reales flew the green flag of the rebel Republican Army of the North, formed to free Mexico from Spain's rule. Aided by the Baron de Bastrop, Moses Austin in December 1820 initiated the Anglo-American colonization of Texas by filing his petition and plans with the governor and cabildo (council) in Casas Reales. Santa Anna arrived here February 23, 1836, to press the siege of the Alamo. The bloody ""Council House Fight"" between Texian leaders and Comanche chiefs occurred here on March 19, 1840. The building served as municipal headquarters under Spanish, Mexican, Republic of Texas, and American regimes, but were vacated in 1850 by the city. (1971)",False,False,True
751,5029000751,Casino Club,Casino Club,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549636,3254964,fraternal organizations; settlements; German immigrants/immigration,1965,False,False,"directly east of the library on West Market St., San Antonio",False,In Situ,"18"" x 28""","Property of Casino Association, organized 1853 among cultured German settlers. Club house and opera building, erected 1858, had a theatre; a hall seating 700; banquet rooms; club rooms. Setting during Civil War for military balls, entertainments, suppers; tableaux, concerts and minstrel shows to benefit the Confederate cause; and meetings of ladies to roll bandages. The owners obtained the best artists of the day to perform here. In the 1850s one noted guest was Col. Robt. E. Lee. Later audiences included Gen. U.S. Grant and Buffalo Bill. (1965)",False,False,True
752,5029000752,San Antonio Casino Club Building,"Casino Club Building, San Antonio","102 W. Crockett St.                                                                                                                                                                                     ",San Antonio,Bexar,15,14,549554,3255176,fraternal organizations; buildings; commercial buildings; German immigrants/immigration,1979,True,False,,False,In Situ,Medallion and Plate,"The exclusive Casino Club was organized in 1854 by San Antonio Germans. In 1881 the San Antonio Club was established for literary purpose. The institutions merged in 1925 to form San Antonio Casino Club. This building, completed in 1927 with its distinctive tiered dome, became a downtown landmark. It boasted club rooms, dining rooms, dormitories, and a ballroom. After oilman Thoms Gilcrease bought the structure in 1942, it became known as the Gilcrease Building.",False,False,True
